Energy Levels             Orignal                     SOC corrected
                       au         ev                    au         ev     
 0                 0.000000       0.000000        0.000000       0.000000
 1                 0.122013       3.320131        0.122013       3.320145
 2                 0.122013       3.320131        0.122013       3.320146
 3                 0.122013       3.320131        0.122014       3.320160
 4                 0.148083       4.029539        0.148083       4.029537
 5                 0.206846       5.628562        0.206846       5.628576
 6                 0.206846       5.628562        0.206846       5.628577
 7                 0.206846       5.628562        0.206847       5.628594
 8                 0.244689       6.658337        0.244690       6.658351
 9                 0.244689       6.658337        0.244690       6.658351
10                 0.244689       6.658337        0.244690       6.658352
11                 0.252396       6.868053        0.252397       6.868068
12                 0.274560       7.471148        0.280213       7.625000
